datetime,temperature,pressure,altitude,sensorVoltage,humidity,trueHumidity
2018-07-26 16:17:16,0.00,0.00,0.00,0.00,0.00,0.00
2018-07-26 16:17:18,26.69,100.11,101.06,2.39,51.76,51.74
2018-07-26 16:22:19,29.37,100.11,101.06,2.39,49.71,49.86
2018-07-26 16:27:20,30.25,100.11,100.44,2.39,40.57,40.93
2018-07-26 16:32:21,30.69,100.11,100.44,2.39,35.68,36.07
2018-07-26 16:37:22,31.12,100.11,98.75,2.39,35.68,36.58
2018-07-26 16:42:23,31.69,100.11,98.75,2.39,35.68,36.58
2018-07-26 16:47:25,31.69,100.11,97.37,1.84,33.79,34.26
2018-07-26 16:52:26,31.87,100.11,98.87,1.84,33.79,33.46
2018-07-26 16:57:27,32.06,100.11,98.87,1.84,32.68,33.46
2018-07-26 17:02:28,32.25,100.11,98.87,1.84,31.42,31.73
2018-07-26 17:07:29,33.00,100.11,99.81,1.84,31.42,31.73
2018-07-26 17:12:30,32.81,100.11,99.81,1.84,30.32,31.15
2018-07-26 17:17:31,33.13,100.11,100.44,1.84,30.95,31.15
2018-07-26 17:22:33,34.31,100.11,100.44,1.84,30.95,31.15
2018-07-26 17:27:34,33.19,100.11,102.81,1.84,29.69,30.12
2018-07-26 17:32:35,32.81,100.11,101.94,1.84,30.95,31.33
2018-07-26 17:37:36,31.69,100.11,98.62,1.84,30.95,31.33
2018-07-26 17:42:37,30.69,100.11,98.62,1.84,34.10,33.94
2018-07-26 17:47:38,30.50,100.11,98.62,1.84,34.10,34.67
2018-07-26 17:52:39,31.00,100.11,97.12,1.84,34.89,34.67
2018-07-26 17:57:41,30.25,100.11,96.56,1.84,34.89,35.49
2018-07-26 18:02:42,30.12,100.11,94.25,1.84,35.84,36.23
2018-07-26 18:07:43,29.75,100.11,94.25,1.84,36.62,36.85
2018-07-26 18:12:44,29.50,100.11,94.87,1.84,37.41,37.62
2018-07-26 18:17:45,29.56,100.11,94.87,1.84,37.41,37.62
2018-07-26 18:22:46,29.12,100.11,94.87,1.84,38.36,38.56
2018-07-26 18:27:47,28.87,100.11,94.12,1.84,38.99,39.16
2018-07-26 18:32:49,28.81,100.11,93.00,1.84,39.94,39.77
2018-07-26 18:37:50,28.81,100.11,93.00,1.84,39.94,40.88
2018-07-26 18:42:51,28.44,100.11,91.62,1.84,39.94,40.88
2018-07-26 18:47:52,28.19,100.11,81.69,1.84,41.83,41.80
2018-07-26 18:52:53,25.75,100.11,81.69,1.84,42.77,42.73
2018-07-26 18:57:54,24.62,100.11,80.00,1.84,45.45,45.18
2018-07-26 19:02:55,24.44,100.11,80.00,1.84,45.45,45.18
2018-07-26 19:07:56,24.19,100.11,80.00,1.84,45.45,45.18
2018-07-26 19:12:57,23.50,100.11,80.69,1.84,46.56,46.45
2018-07-26 19:17:59,22.87,100.11,76.69,2.35,50.03,49.68
2018-07-26 19:23:00,22.19,100.11,78.00,2.35,57.75,57.30
2018-07-26 19:28:01,22.25,100.11,80.44,2.35,64.85,63.95
2018-07-26 19:33:02,22.00,100.11,79.75,2.35,61.85,61.29
2018-07-26 19:38:03,22.19,100.11,79.75,2.35,61.85,62.04
2018-07-26 19:43:04,22.19,100.11,80.37,2.35,59.96,59.56
2018-07-26 19:48:05,21.87,100.11,80.37,2.35,59.96,59.56
2018-07-26 19:53:06,21.87,100.11,80.37,2.35,59.01,58.43
2018-07-26 19:58:07,22.12,100.11,78.75,2.35,59.01,59.37
2018-07-26 20:03:08,22.00,100.11,77.50,2.35,59.01,59.37
2018-07-26 20:08:09,21.87,100.11,76.06,2.35,61.69,61.42
2018-07-26 20:13:11,21.62,100.11,73.00,2.35,68.32,61.42
2018-07-26 20:18:12,21.31,100.11,73.00,2.35,64.22,63.56
2018-07-26 20:23:13,21.37,100.11,76.06,2.35,65.32,64.77
2018-07-26 20:28:14,21.19,100.11,76.69,2.35,65.32,64.77
2018-07-26 20:33:15,21.06,100.11,76.69,2.35,65.32,64.77
2018-07-26 20:38:16,20.69,100.11,78.56,2.86,66.42,65.98
2018-07-26 20:43:17,20.69,100.11,78.56,2.86,68.63,67.80
2018-07-26 20:48:18,20.62,100.11,76.87,2.86,67.68,67.18
2018-07-26 20:53:19,20.87,100.11,76.87,2.86,67.68,67.18
2018-07-26 20:58:20,20.87,100.11,78.12,2.86,66.27,65.49
2018-07-26 21:03:21,21.06,100.11,77.37,2.86,66.27,65.49
2018-07-26 21:08:23,21.31,100.11,77.37,2.86,65.48,64.73
2018-07-26 21:13:24,21.25,100.11,77.37,2.86,65.48,64.73
2018-07-26 21:18:25,21.12,100.11,76.62,2.86,66.27,65.38
2018-07-26 21:23:26,20.75,100.11,76.62,2.86,67.68,66.61
2018-07-26 21:28:27,20.44,100.11,74.31,2.86,69.73,68.90
2018-07-26 21:33:28,20.56,100.11,74.31,2.86,73.05,72.45
2018-07-26 21:38:29,20.50,100.11,74.31,2.86,79.19,78.08
2018-07-26 21:43:30,20.25,100.11,75.69,2.86,80.30,79.32
2018-07-26 21:48:31,20.31,100.11,74.56,2.86,80.93,80.53
2018-07-26 21:53:32,20.37,100.11,73.06,2.86,78.56,78.51
2018-07-26 21:58:33,20.50,100.11,65.87,2.86,78.56,78.51
2018-07-26 22:03:34,20.44,100.11,65.19,2.86,81.24,80.73
2018-07-26 22:08:36,20.25,100.11,66.44,2.86,75.88,75.10
2018-07-26 22:13:37,19.75,100.11,73.25,2.86,78.25,76.78
2018-07-26 22:18:38,19.44,100.11,72.00,2.86,82.03,80.75
2018-07-26 22:23:39,19.31,100.11,74.31,2.86,82.03,80.75
2018-07-26 22:28:40,19.50,100.11,76.06,2.86,81.09,80.05
2018-07-26 22:33:41,19.56,100.11,77.87,3.52,88.02,87.09
2018-07-26 22:38:42,19.25,100.11,77.87,3.52,87.24,86.17
2018-07-26 22:43:43,19.37,100.11,79.19,3.52,88.50,87.83
2018-07-26 22:48:44,19.37,100.11,79.19,3.52,88.50,87.83
2018-07-26 22:53:45,19.25,100.11,79.19,3.52,87.87,86.92
2018-07-26 22:58:46,18.69,100.11,79.19,3.52,87.08,85.49
2018-07-26 23:03:47,18.75,100.11,79.19,3.52,91.33,90.36
2018-07-26 23:08:49,18.50,100.11,79.19,3.52,95.75,91.00
2018-07-26 23:13:50,18.62,100.11,78.37,3.52,92.28,91.00
2018-07-26 23:18:51,18.56,100.11,78.37,3.52,92.28,91.00
2018-07-26 23:23:52,18.37,100.11,78.37,3.52,93.70,92.67
2018-07-26 23:28:53,18.50,100.11,78.37,3.52,93.07,91.08
2018-07-26 23:33:54,18.62,100.11,78.37,3.52,94.49,93.12
2018-07-26 23:38:55,18.50,100.11,77.44,3.52,91.81,90.35
2018-07-26 23:43:56,18.56,100.11,77.44,3.52,92.91,91.88
2018-07-26 23:48:57,18.75,100.11,76.81,3.52,91.33,89.87
2018-07-26 23:53:58,18.31,100.11,76.81,3.52,94.65,93.17
2018-07-26 23:58:59,17.87,100.11,75.62,3.52,95.91,94.80
2018-07-27 00:04:00,18.12,100.11,75.62,3.52,97.33,95.79
2018-07-27 00:09:01,18.19,100.11,75.62,3.52,96.69,94.91
2018-07-27 00:14:03,18.00,100.11,75.62,3.52,98.11,96.63
2018-07-27 00:19:04,18.12,100.11,74.44,3.52,96.38,95.35
2018-07-27 00:24:05,18.56,100.11,75.75,3.52,95.28,93.67
2018-07-27 00:29:06,18.31,100.11,75.75,4.09,98.43,95.47
2018-07-27 00:34:07,18.19,100.11,75.75,4.09,97.17,96.04
2018-07-27 00:39:08,18.31,100.11,77.06,4.09,90.23,94.46
2018-07-27 00:44:09,18.44,100.11,77.06,4.09,97.01,95.11
2018-07-27 00:49:10,18.44,100.11,76.44,4.09,96.38,95.11
2018-07-27 00:54:11,18.31,100.11,76.44,4.09,97.48,96.06
2018-07-27 00:59:12,18.31,100.11,76.44,4.09,96.69,94.49
2018-07-27 01:04:13,18.31,100.11,75.50,4.09,96.69,95.42
2018-07-27 01:09:14,18.19,100.11,76.56,4.09,97.48,95.42
2018-07-27 01:14:15,18.31,100.11,76.56,4.09,97.48,96.79
2018-07-27 01:19:16,18.31,100.11,76.56,4.09,97.48,94.33
2018-07-27 01:24:18,18.31,100.11,77.19,4.09,98.11,96.82
2018-07-27 01:29:19,18.31,100.11,77.19,4.09,97.33,95.88
2018-07-27 01:34:20,18.50,100.11,77.75,4.09,98.11,96.82
